laureate_id,full_name,given_name,family_name,gender,birth_date,birth_country,birth_city,prize_date,category,prizeAmount,motivation
719,"Amartya Sen","Amartya","Sen",male,1933-11-03,"India","Santiniketan",1998-10-14,"Economic Sciences",7600000,"for his contributions to welfare economics"
509,"nan","nan","nan",nan,nan,"nan","nan",1947-10-30,"Peace",146115,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations"
537,"nan","nan","nan",nan,nan,"nan","nan",1977-10-10,"Peace",700000,"for worldwide respect for human rights"
590,"Anatole France","Anatole","France",male,1844-04-16,"France","Paris",1921-11-10,"Literature",121573,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"
360,"André F. Cournand","André F.","Cournand",male,1895-09-24,"France","Paris",1956-10-18,"Physiology or Medicine",200123,"for their discoveries concerning heart catheterization and pathological changes in the circulatory system"
849,"Andre Geim","Andre","Geim",male,1958-10-21,"Russia","Sochi",2010-10-05,"Physics",10000000,"for groundbreaking experiments regarding the two-dimensional material graphene"
618,"André Gide","André","Gide",male,1869-11-22,"France","Paris",1947-11-13,"Literature",146115,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"
381,"André Lwoff","André","Lwoff",male,1902-05-08,"France","Ainay-le-Château",1965-10-14,"Physiology or Medicine",282000,"for their discoveries concerning genetic control of enzyme and virus synthesis"
990,"Andrea Ghez","Andrea","Ghez",female,1965-06-16,"USA","New York, NY",2020-10-06,"Physics",10000000,"for the discovery of a supermassive compact object at the centre of our galaxy"
534,"Andrei Sakharov","Andrei","Sakharov",male,1921-05-21,"Russia","Moscow",1975-10-09,"Peace",630000,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations"
377,"Andrew Huxley","Andrew","Huxley",male,1917-11-22,"United Kingdom","Hampstead",1963-10-17,"Physiology or Medicine",265000,"for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane"
412,"Andrew V. Schally","Andrew V.","Schally",male,1926-11-30,"Poland","Wilno",1977-10-13,"Physiology or Medicine",700000,"for their discoveries concerning the peptide hormone production of the brain"
802,"Andrew Z. Fire","Andrew Z.","Fire",male,1959-04-27,"USA","Stanford, CA",2006-10-02,"Physiology or Medicine",10000000,"for their discovery of RNA interference - gene silencing by double-stranded RNA"
926,"Angus Deaton","Angus","Deaton",male,1945-10-19,"Scotland","Edinburgh",2015-10-12,"Economic Sciences",8000000,"for his analysis of consumption, poverty, and welfare"
1028,"Anne L’Huillier","Anne","L’Huillier",female,1958-08-16,"France","Paris",2023-10-03,"Physics",11000000,"for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter"
1017,"Annie Ernaux","Annie","Ernaux",female,1940-09-01,"France","Lillebonne",2022-10-06,"Literature",10000000,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory"
768,"Anthony J. Leggett","Anthony J.","Leggett",male,1938-03-26,"United Kingdom","London",2003-10-07,"Physics",10000000,"for pioneering contributions to the theory of superconductors and superfluids"
1014,"Anton Zeilinger","Anton","Zeilinger",male,1945-05-20,"Austria","Ried im Innkreis",2022-10-04,"Physics",10000000,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science"
101,"Antony Hewish","Antony","Hewish",male,1924-05-11,"United Kingdom","Fowey",1974-10-15,"Physics",550000,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
538,"Anwar al-Sadat","Anwar","al-Sadat",male,1918-12-25,"Egypt","Mit Abu al-Kawm",1978-10-27,"Peace",725000,"for jointly having negotiated peace between Egypt and Israel in 1978"
214,"Archer J.P. Martin","Archer J.P.","Martin",male,1910-03-01,"United Kingdom","London",1952-11-06,"Chemistry",171135,"for their invention of partition chromatography"
311,"Archibald V. Hill","Archibald V.","Hill",male,1886-09-26,"United Kingdom","Bristol",1922-10-25,"Physiology or Medicine",122483,"for his discovery relating to the production of heat in the muscle"
998,"Ardem Patapoutian","Ardem","Patapoutian",male,1967-00-00,"Lebanon","Beirut",2021-10-04,"Physiology or Medicine",10000000,"for their discoveries of receptors for temperature and touch"
891,"Arieh Warshel","Arieh","Warshel",male,1940-11-20,"British Mandate of Palestine","Kibbutz Sde-Nahum",2013-10-09,"Chemistry",8000000,"for the development of multiscale models for complex chemical systems"
490,"Aristide Briand","Aristide","Briand",male,1862-03-28,"France","Nantes",1926-12-10,"Peace",116960,"for their crucial role in bringing about the Locarno Treaty"
208,"Arne Tiselius","Arne","Tiselius",male,1902-08-10,"Sweden","Stockholm",1948-11-04,"Chemistry",159773,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"
111,"Arno Penzias","Arno","Penzias",male,1933-04-26,"Germany","Munich",1978-10-17,"Physics",725000,"for their discovery of cosmic microwave background radiation"
960,"Arthur Ashkin","Arthur","Ashkin",male,1922-09-02,"USA","New York, NY",2018-10-02,"Physics",9000000,"for the optical tweezers and their application to biological systems"
920,"Arthur B. McDonald","Arthur B.","McDonald",male,1943-08-29,"Canada","Sydney, Nova Scotia",2015-10-06,"Physics",8000000,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
33,"Arthur H. Compton","Arthur H.","Compton",male,1892-09-10,"USA","Wooster, OH",1927-11-10,"Physics",126501,"for his discovery of the effect named after him"
186,"Arthur Harden","Arthur","Harden",male,1865-10-12,"United Kingdom","Manchester",1929-11-12,"Chemistry",172760,"for their investigations on the fermentation of sugar and fermentative enzymes"
499,"Arthur Henderson","Arthur","Henderson",male,1863-09-13,"Scotland","Glasgow",1934-12-10,"Peace",162608,"for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34"
368,"Arthur Kornberg","Arthur","Kornberg",male,1918-03-03,"USA","Brooklyn, NY",1959-10-15,"Physiology or Medicine",220678,"for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"
119,"Arthur L. Schawlow","Arthur L.","Schawlow",male,1921-05-05,"USA","Mount Vernon, NY",1981-10-19,"Physics",1000000,"for their contribution to the development of laser spectroscopy"
203,"Artturi Virtanen","Artturi","Virtanen",male,1895-01-15,"Russian Empire","Helsinki",1945-11-15,"Chemistry",121333,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"
722,"Arvid Carlsson","Arvid","Carlsson",male,1923-01-25,"Sweden","Uppsala",2000-10-09,"Physiology or Medicine",9000000,"for their discoveries concerning signal transduction in the nervous system"
310,"August Krogh","August","Krogh",male,1874-11-15,"Denmark","Grenå",1920-10-28,"Physiology or Medicine",134100,"for his discovery of the capillary motor regulating mechanism"
475,"Auguste Beernaert","Auguste","Beernaert",male,1829-07-26,"Belgium","Ostend",1909-12-10,"Peace",139800,"for their prominent position in the international movement for peace and arbitration"
553,"Aung San Suu Kyi","Aung San Suu Kyi","nan",female,1945-06-19,"Burma","Rangoon",1991-10-14,"Peace",6000000,"for her non-violent struggle for democracy and human rights"
780,"Avram Hershko","Avram","Hershko",male,1937-12-31,"Hungary","Karcag",2004-10-06,"Chemistry",10000000,"for the discovery of ubiquitin-mediated protein degradation"
923,"Aziz Sancar","Aziz","Sancar",male,1946-09-08,"Turkey","Savur",2015-10-07,"Chemistry",8000000,"for mechanistic studies of DNA repair"
845,"Barack H. Obama","Barack","Obama",male,1961-08-04,"USA","Honolulu, HI",2009-10-09,"Peace",10000000,"for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"
428,"Barbara McClintock","Barbara","McClintock",female,1902-06-16,"USA","Hartford, CT",1983-10-10,"Physiology or Medicine",1500000,"for her discovery of mobile genetic elements"
942,"Barry C. Barish","Barry C.","Barish",male,1936-01-27,"USA","Omaha, NE",2017-10-03,"Physics",9000000,"for decisive contributions to the LIGO detector and the observation of gravitational waves"
789,"Barry J. Marshall","Barry J.","Marshall",male,1951-09-30,"Australia","Kalgoorlie",2005-10-03,"Physiology or Medicine",10000000,"for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease"
409,"Baruch S. Blumberg","Baruch S.","Blumberg",male,1925-07-28,"USA","New York, NY",1976-10-14,"Physiology or Medicine",681000,"for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"
419,"Baruj Benacerraf","Baruj","Benacerraf",male,1920-10-29,"Venezuela","Caracas",1980-10-10,"Physiology or Medicine",880000,"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"
1021,"Ben Bernanke","Ben","Bernanke",male,1953-12-13,"USA","Augusta, GA",2011-10-10,"Economic Sciences",10000000,"for research on banks and financial crises"
103,"Ben R. Mottelson","Ben R.","Mottelson",male,1926-07-09,"USA","Chicago, IL",1975-10-17,"Physics",630000,"for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"
936,"Bengt Holmström","Bengt","Holmström",male,1949-04-18,"Finland","Helsinki",2016-10-10,"Economic Sciences",8000000,"for their contributions to contract theory"
426,"Bengt I. Samuelsson","Bengt I.","Samuelsson",male,1934-05-21,"Sweden","Halmstad",1982-10-11,"Physiology or Medicine",1150000,"for their discoveries concerning prostaglandins and related biologically active substances"
1002,"Benjamin List","Benjamin","List",male,1968-01-11,"Germany","Frankfurt-on-the-Main",2021-10-06,"Chemistry",10000000,"for the development of asymmetric organocatalysis"
933,"Bernard L. Feringa","Bernard L.","Feringa",male,1951-05-18,"the Netherlands","Barger-Compascuum",2016-10-05,"Chemistry",8000000,"for the design and synthesis of molecular machines"
345,"Bernardo Houssay","Bernardo","Houssay",male,1887-04-10,"Argentina","Buenos Aires",1947-10-23,"Physiology or Medicine",146115,"for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar"
445,"Bert Sakmann","Bert","Sakmann",male,1942-06-12,"Germany","Stuttgart",1991-10-07,"Physiology or Medicine",6000000,"for their discoveries concerning the function of single ion channels in cells"
468,"Bertha von Suttner","Bertha","von Suttner",female,1843-06-09,"Austrian Empire","Prague",1905-12-10,"Peace",138089,"for her audacity to oppose the horrors of war"
689,"Bertil Ohlin","Bertil","Ohlin",male,1899-04-23,"Sweden","Klippan",1977-10-14,"Economic Sciences",700000,"for their pathbreaking contribution to the theory of international trade and international capital movements"
145,"Bertram N. Brockhouse","Bertram N.","Brockhouse",male,1918-07-15,"Canada","Lethbridge, Alberta",1994-10-12,"Physics",7000000,"for the development of neutron spectroscopy"
621,"Bertrand Russell","Bertrand","Russell",male,1872-05-18,"United Kingdom","Trelleck",1950-11-10,"Literature",164304,"in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought"
535,"Betty Williams","Betty","Williams",female,1943-05-22,"Northern Ireland","Belfast",1977-10-10,"Peace",681000,"for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland"
572,"Bjørnstjerne Bjørnson","Bjørnstjerne","Bjørnson",male,1832-12-08,"Norway","Kvikne",1903-11-19,"Literature",141358,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
937,"Bob Dylan","Bob","Dylan",male,1941-05-24,"USA","Duluth, MN",2016-10-13,"Literature",8000000,"for having created new poetic expressions within the great American song tradition"
629,"Boris Pasternak","Boris","Pasternak",male,1890-02-10,"Russia","Moscow",1958-10-28,"Literature",214559,"for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition"
99,"Brian D. Josephson","Brian D.","Josephson",male,1940-01-04,"United Kingdom","Cardiff",1973-10-23,"Physics",510000,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
879,"Brian Kobilka","Brian","Kobilka",male,1955-05-30,"USA","Little Falls, MN",2012-10-10,"Chemistry",8000000,"for studies of G-protein-coupled receptors"
865,"Brian P. Schmidt","Brian P.","Schmidt",male,1967-02-24,"USA","Missoula, MT",2011-10-04,"Physics",10000000,"for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"
861,"Bruce A. Beutler","Bruce A.","Beutler",male,1957-12-29,"USA","Chicago, IL",2011-10-03,"Physiology or Medicine",10000000,"for their discoveries concerning the activation of innate immunity"
261,"Bruce Merrifield","Bruce","Merrifield",male,1921-07-15,"USA","Fort Worth, TX",1984-10-17,"Chemistry",1650000,"for his development of methodology for chemical synthesis on a solid matrix"
105,"Burton Richter","Burton","Richter",male,1931-03-22,"USA","Brooklyn, NY",1976-10-18,"Physics",681000,"for their pioneering work in the discovery of a heavy elementary particle of a new kind"
34,"C.T.R. Wilson","C.T.R.","Wilson",male,1869-02-14,"Scotland","Glencorse",1927-11-10,"Physics",126501,"for his method of making the paths of electrically charged particles visible by condensation of vapour"
298,"Camillo Golgi","Camillo","Golgi",male,1843-07-07,"Italy","Corteno",1906-10-25,"Physiology or Medicine",138536,"in recognition of their work on the structure of the nervous system"
666,"Camilo José Cela","Camilo José","Cela",male,1916-05-11,"Spain","Iria Flavia",1989-10-09,"Literature",3000000,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
189,"Carl Bosch","Carl","Bosch",male,1874-08-27,"Germany","Cologne",1931-11-12,"Chemistry",173206,"in recognition of their contributions to the invention and development of chemical high pressure methods"
343,"Carl Cori","Carl","Cori",male,1896-12-05,"Austria-Hungary","Prague",1947-10-23,"Physiology or Medicine",146115,"for their discovery of the course of the catalytic conversion of glycogen"
43,"Carl D. Anderson","Carl D.","Anderson",male,1905-09-03,"USA","New York, NY",1936-11-12,"Physics",159850,"for his discovery of the positron"
588,"Carl Spitteler","Carl","Spitteler",male,1845-04-24,"Switzerland","Liestal",1920-11-11,"Literature",133127,"in special appreciation of his epic, <I>Olympian Spring</I>"
500,"Carl von Ossietzky","Carl","von Ossietzky",male,1889-10-03,"Germany","Hamburg",1936-11-24,"Peace",159917,"for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace"
740,"Carl Wieman","Carl","Wieman",male,1951-03-26,"USA","Corvallis, OR",2001-10-09,"Physics",10000000,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
124,"Carlo Rubbia","Carlo","Rubbia",male,1934-03-31,"Italy","Gorizia",1984-10-17,"Physics",1650000,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
562,"Carlos Filipe Ximenes Belo","Carlos Filipe Ximenes","Belo",male,1948-02-03,"East Timor","Wailacama",1996-10-11,"Peace",7400000,"for their work towards a just and peaceful solution to the conflict in East Timor"
501,"Carlos Saavedra Lamas","Carlos","Saavedra Lamas",male,1878-11-01,"Argentina","Buenos Aires",1936-11-24,"Peace",159850,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935"
836,"Carol W. Greider","Carol W.","Greider",female,1961-04-15,"USA","San Diego, CA",2009-10-05,"Physiology or Medicine",10000000,"for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"
1015,"Carolyn Bertozzi","Carolyn","Bertozzi",female,1966-10-10,"USA","Boston, MA",2022-10-05,"Chemistry",10000000,"for the development of click chemistry and bioorthogonal chemistry"
55,"Cecil Powell","Cecil","Powell",male,1903-12-05,"United Kingdom","Tonbridge",1950-11-10,"Physics",164304,"for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"
1020,"nan","nan","nan",nan,nan,"nan","nan",2022-10-07,"Peace",10000000,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy."
431,"César Milstein","César","Milstein",male,1927-10-08,"Argentina","Bahia Blanca",1984-10-15,"Physiology or Medicine",1650000,"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"
384,"Charles B. Huggins","Charles B.","Huggins",male,1901-09-22,"Canada","Halifax, Nova Scotia",1966-10-13,"Physiology or Medicine",300000,"for his discoveries concerning hormonal treatment of prostatic cancer"
25,"Charles Edouard Guillaume","Charles Edouard","Guillaume",male,1861-02-15,"Switzerland","Fleurier",1920-11-11,"Physics",134100,"in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys"
489,"Charles G. Dawes","Charles G.","Dawes",male,1865-08-27,"USA","Marietta, OH",1926-12-10,"Peace",118165,"for his crucial role in bringing about the Dawes Plan"
22,"Charles Glover Barkla","Charles Glover","Barkla",male,1877-06-07,"United Kingdom","Widnes",1918-11-12,"Physics",133823,"for his discovery of the characteristic R&ouml;ntgen radiation of the elements"
81,"Charles H. Townes","Charles H.","Townes",male,1915-07-28,"USA","Greenville, SC",1964-10-29,"Physics",273000,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
269,"Charles J. Pedersen","Charles J.","Pedersen",male,1904-10-03,"Korea","Pusan",1987-10-14,"Chemistry",2175000,"for their development and use of molecules with structure-specific interactions of high selectivity"
838,"Charles K. Kao","Charles K.","Kao",male,1933-11-04,"China","Shanghai",2009-10-06,"Physics",10000000,"for groundbreaking achievements concerning the transmission of light in fibers for optical communication"
987,"Charles M. Rice","Charles","Rice",male,1952-08-25,"USA","Sacramento, CA",2020-10-05,"Physiology or Medicine",10000000,"for the discovery of Hepatitis C virus"
318,"Charles Nicolle","Charles","Nicolle",male,1866-09-21,"France","Rouen",1928-10-25,"Physiology or Medicine",156939,"for his work on typhus"
307,"Charles Richet","Charles","Richet",male,1850-08-26,"France","Paris",1913-10-30,"Physiology or Medicine",143010,"in recognition of his work on anaphylaxis"
68,"Chen Ning Yang","Chen Ning","Yang",male,1922-09-22,"China","Hofei, Anhwei",1957-10-31,"Physics",208629,"for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles"
319,"Christiaan Eijkman","Christiaan","Eijkman",male,1858-08-11,"the Netherlands","Nijkerk",1929-10-31,"Physiology or Medicine",172760,"for his discovery of the antineuritic vitamin"
